date,user_name,day,week,day_of_week,phase,is_training_day,total_sets,training_volume_load,average_rpe,session_duration_min,compound_sets,isolation_sets,effective_reps,time_under_tension_min,calories,protein_g,carbs_g,fats_g,protein_g_per_kg,fiber_g,hydration_liters,meals_per_day,vitamin_d_iu,creatine_g,calorie_surplus,tdee_estimate,sleep_duration_hours,sleep_quality_1_10,deep_sleep_percent,rem_sleep_percent,sleep_efficiency_percent,sleep_latency_min,awakenings_count,weight_kg,estimated_muscle_mass_kg,body_fat_percent,daily_muscle_gain_g,hrv_rmssd,resting_heart_rate,perceived_stress_1_10,weekly_weight_trend_kg,calories_7d_avg,protein_7d_avg,sleep_7d_avg,training_volume_7d_avg,weight_7d_avg,weight_trend_14d,cumulative_training_volume,training_consistency_7d,recovery_score,training_stress_balance,protein_adequacy_ratio,calorie_surplus_per_kg,phase_encoded,age,sex_encoded,training_age_years,experience_level_encoded,muscle_gain_kg_per_week,weight_change_kg_per_week,user_id
2024-01-01,Alex_Beginner,1,1,0,building,False,0.0,0,0.0,0,0,0,0,0.0,2059,99.7,234.1,80.4,1.42,8.2,3.0,3,2463,5,-809,2868,8.1,10.0,24.0,24.7,85.6,5,0,69.47,24.71,16.1,12.0,55.4,58,3.9,0.084,2059.0,99.7,8.1,0.0,69.47,,0.0,0.0,1.4205128205128206,0.0,0.7888888888888889,-11.645314524255074,1,22,1,0.5,1,0.084,,0
2024-01-02,Alex_Beginner,2,1,1,building,True,6.0,4571,7.0,64,3,3,29,3.9,2147,97.3,277.5,72.0,1.4,9.7,2.5,4,1587,0,-712,2859,8.8,6.9,19.7,23.6,91.2,25,1,69.75,24.76,15.9,50.1,42.2,62,4.4,0.35,2103.0,98.5,8.45,3.0,69.61,,6.0,0.5,0.6617727272727272,0.6122448979591836,0.7777777777777777,-10.207885304659499,1,22,1,0.5,1,0.3507,1.960000000000008,0
2024-01-03,Alex_Beginner,3,1,2,building,False,0.0,0,0.0,0,0,0,0,0.0,2925,109.9,198.9,187.7,1.58,7.0,2.9,4,1580,0,61,2864,7.7,6.9,27.8,24.7,98.0,24,1,69.87,24.78,16.0,16.9,58.3,58,4.8,0.118,2377.0,102.3,8.200000000000001,2.0,69.69666666666667,,6.0,0.3333333333333333,0.8380624999999999,0.0,0.8777777777777778,0.87304994990697,1,22,1,0.5,1,0.11829999999999999,0.8400000000000318,0
2024-01-04,Alex_Beginner,4,1,3,building,True,6.0,4453,7.7,63,3,3,31,1.7,2303,97.8,270.1,92.3,1.4,9.5,2.4,3,1959,5,-563,2866,7.7,6.5,25.7,20.2,88.2,13,2,70.32,24.82,15.9,39.2,39.1,63,4.2,0.275,2358.5,101.175,8.075,3.0,69.85249999999999,,12.0,0.5,0.6051190476190477,0.6896551724137931,0.7777777777777777,-8.006257110352674,1,22,1,0.5,1,0.27440000000000003,3.1499999999999204,0
2024-01-05,Alex_Beginner,5,1,4,building,False,0.0,0,0.0,0,0,0,0,0.0,2090,119.4,273.7,57.5,1.7,9.6,2.6,5,2863,5,-783,2874,8.5,7.3,12.9,21.8,80.6,5,1,69.79,24.83,16.1,14.4,46.3,61,2.4,0.101,2304.8,104.82000000000001,8.16,2.4,69.84,,12.0,0.4,1.4082916666666665,0.0,0.9444444444444444,-11.219372402923053,1,22,1,0.5,1,0.1008,-3.7099999999999085,0
2024-01-06,Alex_Beginner,6,1,5,building,True,7.0,4540,6.6,68,4,3,27,2.1,3088,120.6,289.5,160.8,1.73,10.1,2.2,4,2021,5,223,2865,8.0,8.2,20.0,22.1,98.0,5,0,70.41,24.92,15.9,89.5,34.8,65,4.9,0.627,2435.3333333333335,107.45,8.133333333333333,3.1666666666666665,69.935,,19.0,0.5,0.5823673469387755,0.7777777777777778,0.961111111111111,3.1671637551484166,1,22,1,0.5,1,0.6265,4.339999999999932,0
2024-01-07,Alex_Beginner,7,1,6,illness,False,0.0,0,0.0,0,0,0,0,0.0,2497,112.9,156.2,157.8,1.6,5.5,2.5,4,2225,0,-378,2875,8.3,5.8,23.4,19.1,86.0,12,2,70.5,24.93,16.0,5.6,49.2,60,5.5,0.04,2444.1428571428573,108.22857142857143,8.157142857142857,2.7142857142857144,70.01571428571428,1.0825000000000111,19.0,0.42857142857142855,0.5188363636363637,0.0,0.888888888888889,-5.361702127659575,4,22,1,0.5,1,0.0392,0.6300000000000239,0
2024-01-08,Alex_Beginner,8,2,0,building,False,0.0,0,0.0,0,0,0,0,0.0,2736,107.7,292.1,126.2,1.53,10.2,2.5,4,2254,5,-141,2877,7.7,7.4,24.9,19.6,76.2,5,2,70.5,24.95,16.0,16.2,44.1,62,4.6,0.113,2540.8571428571427,109.37142857142855,8.1,2.7142857142857144,70.16285714285713,1.0041666666666331,19.0,0.42857142857142855,0.7094347826086957,0.0,0.85,-2.0,1,22,1,0.5,1,0.1134,0.0,0
2024-01-09,Alex_Beginner,9,2,1,building,True,6.0,4639,8.1,67,3,3,34,2.9,1854,98.7,200.4,73.1,1.4,7.0,2.6,4,1861,5,-1023,2877,7.4,8.0,15.6,24.8,95.1,5,2,70.74,25.0,15.9,54.4,64.1,56,2.2,0.381,2499.0,109.57142857142857,7.9,2.7142857142857144,70.30428571428571,1.0126666666666375,25.0,0.42857142857142855,2.33090909090909,0.7142857142857143,0.7777777777777777,-14.461407972858355,1,22,1,0.5,1,0.38079999999999997,1.6799999999999642,0
2024-01-10,Alex_Beginner,10,2,2,building,False,0.0,0,0.0,0,0,0,0,0.0,2523,99.0,307.4,99.7,1.4,10.8,2.5,4,2588,5,-358,2881,8.5,5.3,20.0,28.1,88.8,13,2,69.32,25.01,16.3,10.4,51.6,60,3.1,0.073,2441.5714285714284,108.01428571428572,8.014285714285714,2.7142857142857144,70.22571428571428,0.41957575757579185,25.0,0.42857142857142855,0.8821935483870968,0.0,0.7777777777777777,-5.164454702827467,1,22,1,0.5,1,0.0728,-9.940000000000012,0
2024-01-11,Alex_Beginner,11,2,3,building,False,0.0,0,0.0,0,0,0,0,0.0,2550,121.1,315.0,89.5,1.75,11.0,1.8,5,2333,0,-307,2857,7.2,5.3,26.9,21.1,78.3,12,2,69.89,25.02,15.9,12.4,54.6,59,1.6,0.087,2476.8571428571427,111.34285714285714,7.942857142857144,1.8571428571428572,70.16428571428573,0.25836363636364734,25.0,0.2857142857142857,1.808625,0.0,0.9722222222222222,-4.392616969523537,1,22,1,0.5,1,0.0868,3.9900000000000517,0
2024-01-12,Alex_Beginner,12,2,4,building,False,0.0,0,0.0,0,0,0,0,0.0,1741,97.8,285.1,33.3,1.4,10.0,2.6,4,2262,0,-1125,2866,7.3,8.6,23.0,22.8,94.2,51,0,69.76,25.03,16.0,10.9,57.6,58,5.0,0.077,2427.0,108.25714285714285,7.771428571428572,1.8571428571428572,70.16,0.12041958041958857,25.0,0.2857142857142857,0.9907199999999999,0.0,0.7777777777777777,-16.12672018348624,1,22,1,0.5,1,0.0763,-0.9099999999999682,0
2024-01-13,Alex_Beginner,13,2,5,building,True,6.0,6207,8.8,58,3,3,50,1.8,2364,140.0,200.7,111.2,2.01,7.0,3.2,4,1176,5,-500,2864,8.5,7.0,24.9,22.6,86.4,5,4,69.69,25.1,16.0,69.7,41.4,63,4.3,0.488,2323.5714285714284,111.02857142857142,7.842857142857143,1.7142857142857142,70.05714285714285,0.016923076923078418,31.0,0.2857142857142857,0.6739534883720931,0.631578947368421,1.1166666666666665,-7.174630506528914,1,22,1,0.5,1,0.4879,-0.4900000000000517,0
2024-01-14,Alex_Beginner,14,2,6,building,False,0.0,0,0.0,0,0,0,0,0.0,2488,121.7,246.5,112.8,1.75,8.6,2.8,3,2711,0,-375,2863,8.7,9.4,21.2,18.4,98.0,13,2,70.18,25.11,15.9,10.3,44.4,62,3.6,0.072,2322.285714285714,112.28571428571429,7.8999999999999995,1.7142857142857142,70.01142857142857,0.04938461538457617,31.0,0.2857142857142857,1.1593333333333333,0.0,0.9722222222222222,-5.343402678825876,1,22,1,0.5,1,0.0721,3.4300000000000637,0
